Country Name,Country Code,Year,PIB per capita (US$),Exportações (% PIB),Importações (% PIB),Abertura Comercial (% PIB),Crescimento PIB (%),Taxa Câmbio Efetiva Real,Exportações (US$),Importações (US$),Income Level
Argentina,ARG,1990,4315.33403111588,10.3595365925264,4.63132240741775,14.9908589999441,-2.46721377810472,,14643479947.2507,6546497152.31476,Média Renda
Argentina,ARG,1991,5709.24784079504,7.67504334832217,6.07801081056698,13.7530541588891,9.13311056738961,,14561091033.0362,11531201153.6445,Média Renda
Argentina,ARG,1992,6789.99611136495,6.5981874720374,8.13279311431564,14.730980586353,7.93729155643076,,15095261860.4905,18606116033.8447,Média Renda
Argentina,ARG,1993,6931.85596375876,6.90935153370832,9.31379991407563,16.223151447784,8.20697907221228,,16357317317.3173,22049649649.6497,Média Renda
Argentina,ARG,1994,7437.56242327594,7.52994872591672,10.6043971410814,18.1343458669981,5.83620070368526,,19385100000.0,27299960000.0,Média Renda
Argentina,ARG,1995,7357.6162773788,9.68041025959015,10.0910128307854,19.7714230903755,-2.84520961057079,,24978532000.0,26038017000.0,Média Renda
Argentina,ARG,1996,7663.21271287469,10.4285967560139,11.0778716497076,21.5064684057215,5.52668982715234,,28381400000.0,30148400000.0,Média Renda
Argentina,ARG,1997,8146.78710021431,10.5608501019262,12.7753287418177,23.3361788437439,8.1110467707457,,30928400000.0,37413700000.0,Média Renda
Argentina,ARG,1998,8218.99212764682,10.4155819610919,12.934446011977,23.3500279730689,3.85017885156228,,31137200000.0,38667300000.0,Média Renda
Argentina,ARG,1999,7705.54288252851,9.82717451494235,11.5555704475475,21.3827449624898,-3.38545704063269,,27862300000.0,32762700000.0,Média Renda
Argentina,ARG,2000,7637.01489203628,10.9863752325576,11.6360695451767,22.6224447777343,-0.78899893905691,,31223690400.0,33070146000.0,Média Renda
Argentina,ARG,2001,7141.47507662826,11.5790080825317,10.2732473690136,21.8522554515453,-4.40883968258557,,31112418400.0,27603881800.0,Média Renda
Argentina,ARG,2002,2569.69963519124,28.3825969991682,13.370127359396,41.7527243585642,-10.8944848285903,,27736610298.2555,13065823829.1753,Média Renda
Argentina,ARG,2003,3320.47775133903,25.9309429264224,14.7138051046861,40.6447480311085,8.83704079576924,,33084505277.8061,18772898618.6064,Média Renda
Argentina,ARG,2004,4242.02099089422,23.8476194239892,16.8450266849578,40.692646108947,9.02957330068152,,39266996605.7973,27736672323.6712,Média Renda
Argentina,ARG,2005,5067.65342293276,23.2458767338576,17.3053942367662,40.5512709706238,8.85165992013437,,46198180131.0044,34392237786.5721,Média Renda
Argentina,ARG,2006,5869.38028970204,23.0266946038115,17.4067852681036,40.4334798719151,8.04715150043027,,53550250227.3909,40480743015.8524,Média Renda
Argentina,ARG,2007,7185.25155147027,22.6627503115066,18.2824203070644,40.945170618571,9.00765087504757,,65162321195.025,52567536062.3157,Média Renda
Argentina,ARG,2008,8944.1102657357,22.0609003826242,18.341772996414,40.4026733790382,4.05723310346406,,79762958392.3012,66316154417.0834,Média Renda
Argentina,ARG,2009,8150.23527028221,19.5609850560818,14.4961418494061,34.0571269054879,-5.91852507634947,,65133480388.4946,48268743529.5373,Média Renda
Argentina,ARG,2010,10260.1313108254,18.9338234053709,16.0371898581987,34.9710132635696,10.1253981561002,,80208867995.7171,67937933972.3653,Média Renda
Argentina,ARG,2011,12704.2831819684,18.4492091453155,16.7569458546489,35.2061549999644,6.00395169280579,,97809980730.5834,88838309449.3132,Média Renda
Argentina,ARG,2012,12949.717486654,16.2378594620246,14.2886829096862,30.5265423717108,-1.0264204544321,,88655850853.7721,78013690406.706,Média Renda
